matrix_id,group,name,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard
119,HB,dwt_245,22,245,TorusMDS,1.0837,,,2432.0,tolerance,0.0041,0.1951744814925574,0.239020695668225,0.1595176063014059,0.9050304788213954,0.5332190245151124,22.615987,results/suitesparse_normalized_TorusMDS_comparison.csv
121,HB,dwt_307,23,307,TorusMDS,1.0913,,,2304.0,tolerance,0.0065,0.1715167720354801,0.3203400849216729,0.1384360295667347,0.8968526248798416,0.6157607543971183,18.12357,results/suitesparse_normalized_TorusMDS_comparison.csv
122,HB,dwt_310,24,310,TorusMDS,2.6208,,,4608.0,tolerance,0.0041,0.0346500482256147,0.084934566084759,0.0322184883261399,0.9971494978614368,0.9161188256188252,53.821232,results/suitesparse_normalized_TorusMDS_comparison.csv
123,HB,dwt_346,25,340,TorusMDS,1.2252,,,2688.0,tolerance,0.0089,0.1306746460021585,0.2148097824530303,0.1126606224112307,0.955947635834538,0.5418253350393955,25.880486,results/suitesparse_normalized_TorusMDS_comparison.csv
124,HB,dwt_361,26,361,TorusMDS,1.659,,,3584.0,tolerance,0.0064,0.0764675916340862,0.1276808279597488,0.0678039730386277,0.9850919894864456,0.8832222222222221,42.612063,results/suitesparse_normalized_TorusMDS_comparison.csv
125,HB,dwt_419,27,419,TorusMDS,1.6613,,,3584.0,tolerance,0.013,0.1596860643656429,0.2069763663450876,0.1225126311011303,0.9444480913208052,0.7576787101787104,25.777,results/suitesparse_normalized_TorusMDS_comparison.csv
141,HB,fs_183_1,28,183,TorusMDS,0.9998,,,2304.0,tolerance,0.0026,0.3070826990101525,0.3446852427537991,0.2500285172684453,0.7038892328079724,0.7869358367351117,6.986445,results/suitesparse_normalized_TorusMDS_comparison.csv
142,HB,fs_183_3,29,183,TorusMDS,1.0074,,,2304.0,tolerance,0.0029,0.3113590237962688,0.3542140595869739,0.2528356773228105,0.6968058772527689,0.7945061158082285,6.856084,results/suitesparse_normalized_TorusMDS_comparison.csv
143,HB,fs_183_4,30,183,TorusMDS,1.0063,,,2304.0,tolerance,0.0027,0.3113590237962688,0.3542140595869739,0.2528356773228105,0.6968058772527689,0.7945061158082285,6.856084,results/suitesparse_normalized_TorusMDS_comparison.csv
144,HB,fs_183_6,31,183,TorusMDS,1.0088,,,2304.0,tolerance,0.0026,0.3067304849947456,0.3449340848940783,0.2473978245280062,0.7113931257276596,0.7940635413301228,6.897511,results/suitesparse_normalized_TorusMDS_comparison.csv
158,HB,gent113,32,104,TorusMDS,1.0126,,,2304.0,tolerance,0.0011,0.2814895667062263,0.3193286344884026,0.2189581717082884,0.7394113298758433,0.6242025335349879,8.062543,results/suitesparse_normalized_TorusMDS_comparison.csv
161,HB,gre_115,33,115,TorusMDS,1.0212,,,2304.0,tolerance,0.0012,0.2742458078370187,0.3388277450068476,0.2239467881726641,0.7039534916235495,0.3820137806906987,11.269093,results/suitesparse_normalized_TorusMDS_comparison.csv
162,HB,gre_185,34,185,TorusMDS,1.0056,,,2304.0,tolerance,0.0026,0.1233969991556021,0.2025108677498065,0.1088880850481397,0.9598945894117408,0.7172681765640172,17.954756,results/suitesparse_normalized_TorusMDS_comparison.csv
163,HB,gre_216a,35,216,TorusMDS,1.0341,,,2304.0,tolerance,0.0032,0.17425983918514,0.2627063147768273,0.136801248397304,0.901864755670122,0.4781561488592147,23.97967,results/suitesparse_normalized_TorusMDS_comparison.csv
164,HB,gre_216b,36,216,TorusMDS,1.0373,,,2304.0,tolerance,0.0032,0.17425983918514,0.2627063147768273,0.136801248397304,0.901864755670122,0.4781561488592147,23.97967,results/suitesparse_normalized_TorusMDS_comparison.csv
165,HB,gre_343,37,343,TorusMDS,1.6276,,,3712.0,tolerance,0.0077,0.1916377765009451,0.2573045019241864,0.1429120520683897,0.8791366437678192,0.3830661874357527,43.883244,results/suitesparse_normalized_TorusMDS_comparison.csv
167,HB,hor_131,38,434,TorusMDS,1.367,,,2944.0,tolerance,0.0161,0.1933343544384619,0.2661766378951797,0.1566427445488795,0.8650393173560317,0.5595499167192868,14.25053,results/suitesparse_normalized_TorusMDS_comparison.csv
171,HB,impcol_a,39,206,TorusMDS,0.9971,,,2304.0,tolerance,0.0034,0.2422383750677603,0.3281025550371313,0.2060018206667004,0.8481108895340765,0.400134497093391,13.905015,results/suitesparse_normalized_TorusMDS_comparison.csv
173,HB,impcol_c,40,137,TorusMDS,1.4954,,,3328.0,tolerance,0.0016,0.2615630487266346,0.3117548135633934,0.214160915550297,0.7452381619409574,0.4431179286554393,9.498363,results/suitesparse_normalized_TorusMDS_comparison.csv
174,HB,impcol_d,41,425,TorusMDS,1.087,,,2304.0,tolerance,0.0129,0.1286369643116285,0.2111130973799811,0.1082749104248193,0.9593107346099558,0.4216156345765128,18.330217,results/suitesparse_normalized_TorusMDS_comparison.csv
175,HB,impcol_e,42,225,TorusMDS,1.0101,,,2304.0,tolerance,0.0043,0.2218960834122351,0.302901644648353,0.1878634891366515,0.8766186629800011,0.5470450532097838,13.920645,results/suitesparse_normalized_TorusMDS_comparison.csv
188,HB,lns_131,43,102,TorusMDS,1.3369,,,3072.0,tolerance,0.0011,0.1709103538605662,0.2211040063835818,0.1323152160262476,0.9078054071680146,0.5886684641905265,12.839129,results/suitesparse_normalized_TorusMDS_comparison.csv
192,HB,lnsp_131,44,102,TorusMDS,1.3288,,,3072.0,tolerance,0.0009,0.1717832718239238,0.2248028558825054,0.1331953416809651,0.9071013855005567,0.574890260129047,12.854537,results/suitesparse_normalized_TorusMDS_comparison.csv
202,HB,lshp_265,45,265,TorusMDS,1.1356,,,2432.0,tolerance,0.0045,0.0737818230363059,0.1124138446489672,0.0614462024347278,0.987654117721781,0.8922795537795537,34.369553,results/suitesparse_normalized_TorusMDS_comparison.csv
203,HB,lshp_406,46,406,TorusMDS,1.3009,,,2304.0,tolerance,0.0102,0.0655352884706632,0.0827004483337077,0.0548259980429363,0.990012178307419,0.96765873015873,46.305008,results/suitesparse_normalized_TorusMDS_comparison.csv
206,HB,lund_a,47,147,TorusMDS,0.9743,,,2304.0,tolerance,0.0019,0.0873399387501421,0.1483263380908053,0.0665806458093451,0.9860940255964884,0.9712968004102762,13.966321,results/suitesparse_normalized_TorusMDS_comparison.csv
207,HB,lund_b,48,147,TorusMDS,1.0214,,,2304.0,tolerance,0.0019,0.0706629701950296,0.1414279704013938,0.0604303098611046,0.98596051681912,0.9738896418033244,15.798895,results/suitesparse_normalized_TorusMDS_comparison.csv
212,HB,mcca,49,168,TorusMDS,1.0425,,,2304.0,tolerance,0.0032,0.1837970175981344,0.2552713673145542,0.1543258290427092,0.9104268809455034,0.7212707423579521,12.619529,results/suitesparse_normalized_TorusMDS_comparison.csv
215,HB,nnc261,50,261,TorusMDS,1.0746,,,2304.0,tolerance,0.0037,0.2499132585261324,0.3996856845353841,0.2019997142431438,0.826631898831021,0.5237896646883724,16.063116,results/suitesparse_normalized_TorusMDS_comparison.csv
