k,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
4,141,820,TorusMDS_random_1x_scale2,6.8286,1.0295242197402856,0.9713224621876952,10000.0,max_iters,0.2674,0.3414304303771777,0.3711524245817832,0.267903347450674,0.2695039597179389,0.9997979797979798,4.399349,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,142,730,TorusMDS_random_1x_scale2,6.2576,0.9813169341787652,1.0190387683841102,10000.0,max_iters,0.1627,0.3354281212576315,0.3712235739991388,0.2635587295002647,0.284353840825666,0.9995959595959596,4.401718,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,143,196,TorusMDS_random_1x_scale2,5.6742,1.0199405713893956,0.9804492811162204,10000.0,max_iters,0.0062,0.3385166138033993,0.3725696473635931,0.2773644898892541,0.3700288256173969,0.8146181265253958,4.800152,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,144,372,TorusMDS_random_1x_scale2,5.777,1.004320026157044,0.9956985561927164,10000.0,max_iters,0.0285,0.3544395696042993,0.378540283519049,0.2844711526667667,0.2205947933691628,0.8445294124034948,4.706084,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,145,246,TorusMDS_random_1x_scale2,5.587,1.0042577246043656,0.9957603267567168,10000.0,max_iters,0.0091,0.3519988522761483,0.3821991578792278,0.2888359731666484,0.2931782427835495,0.7231929665209978,4.987681,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,146,299,TorusMDS_random_1x_scale2,5.6956,0.989155071297178,1.0109638306646904,10000.0,max_iters,0.0173,0.3415551248881971,0.3698331772693696,0.2716119293793068,0.3328866489582526,0.9463269199407672,4.471753,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,147,265,TorusMDS_random_1x_scale2,5.6939,1.0117523798999248,0.9883841341681971,10000.0,max_iters,0.0122,0.3369142539693535,0.3657009842932713,0.2726462955114314,0.3622736376595672,0.8919841104245898,4.614182,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,148,132,TorusMDS_random_1x_scale2,6.0165,1.0096960213330004,0.990397088699825,10000.0,max_iters,0.0027,0.3228011257480973,0.363479528357025,0.267387767712651,0.4360472015474642,0.7352765800951525,5.038279,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,149,483,TorusMDS_random_1x_scale2,6.0734,0.9994042211614348,1.0005961340025888,10000.0,max_iters,0.0473,0.3401380554686667,0.3657752088878889,0.2691779382020748,0.2725830939268888,0.9616709196955876,4.509826,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,150,788,TorusMDS_random_1x_scale2,6.4027,0.9935587603489092,1.00648299819613,10000.0,max_iters,0.2207,0.3423720552535627,0.3728795678845115,0.2687120251906149,0.2373296669207556,0.9919191919191916,4.473858,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,151,109,TorusMDS_random_1x_scale2,5.9887,1.011641050932575,0.9884929037608312,10000.0,max_iters,0.0022,0.318231716106394,0.3557362651340237,0.2609029291070089,0.4610217895814683,0.7816167422148859,4.91837,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,152,370,TorusMDS_random_1x_scale2,5.8194,1.01174962969513,0.9883868208593558,10000.0,max_iters,0.0288,0.3381957726557515,0.370947410197053,0.2675569240581176,0.2823341335343833,0.9773428159142442,4.411028,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,153,340,TorusMDS_random_1x_scale2,5.8788,0.9869126645325896,1.0132608851195648,10000.0,max_iters,0.0221,0.3433400718296979,0.3683952813737163,0.2756501506212453,0.3040756052253452,0.9314019598661244,4.529257,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,154,993,TorusMDS_random_1x_scale2,6.7725,1.0078653834477895,0.992195998020209,10000.0,max_iters,0.3679,0.3444787966070852,0.3725837658454648,0.2663896643731163,0.2495377168834587,1.0,4.410132,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,155,148,TorusMDS_random_1x_scale2,5.7154,0.9912463914491896,1.00883091088787,10000.0,max_iters,0.0034,0.3213720939268575,0.3613036302116087,0.2643116964186623,0.4566030837969225,0.7818206255641865,4.955217,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
