epsilon,eps_actual,graph_type,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
0.22,0.22,toroidal,138,237,wrap_typescript,4.1639,,,,,0.0122,0.1387656189915118,0.1827815267365811,0.1198463420179599,0.9114290803235552,0.8841043035140415,6.112971,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,toroidal,139,283,wrap_typescript,6.0021,,,,,0.0133,0.1159412181540257,0.1503309449612734,0.0984282903369788,0.9368968142486443,0.8782958252505805,8.239916,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,140,864,wrap_typescript,116.3995,,,,,0.6366,0.1726565153726433,0.233699210376323,0.149083982488484,0.9178002470919372,0.9410862413625912,6.037011,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,141,272,wrap_typescript,5.3389,,,,,0.0235,0.2186133790829084,0.2525325092134676,0.1835464211650187,0.8278672093298054,0.7693425800454307,5.511166,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,toroidal,142,143,wrap_typescript,1.1603,,,,,0.0068,0.1856798486988441,0.2360628844737831,0.1603612076575431,0.8418913316424357,0.9944656821113692,4.160039,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,euclidean,143,331,wrap_typescript,8.7334,,,,,0.018,0.1851411151174331,0.1762110790328205,0.1315830598864766,0.9097678645224432,0.9498411627516598,11.725676,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,toroidal,144,216,wrap_typescript,2.9323,,,,,0.0163,0.1912182780774868,0.2411431542951234,0.1651120890009027,0.838166543634126,0.9959285894926544,4.152339,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,toroidal,145,282,wrap_typescript,5.4459,,,,,0.0179,0.1380160987135164,0.1825785253487615,0.1192619091969647,0.9136866714248882,0.9079018788068284,6.033786,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.14,toroidal,146,111,wrap_typescript,0.6989,,,,,0.0017,0.1522034509740351,0.1746965120496051,0.1216486430475009,0.9130557965301394,0.8380931786437441,11.774653,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,euclidean,147,512,wrap_typescript,27.0965,,,,,0.0492,0.1616524462108652,0.1633273903728703,0.1142455341604367,0.9395633504260286,0.9602772427280714,11.554114,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,148,264,wrap_typescript,5.022,,,,,0.1233,0.1646556591017386,0.2238396736955976,0.1405500004863578,0.925468383459322,0.951408590943424,6.133206,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,149,219,wrap_typescript,3.2227,,,,,0.0143,0.1645454187044695,0.2195352032114083,0.1408297044112099,0.9266168167376596,0.9490378635740444,6.098806,results/grg_normalized_wrap_typescript_comparison.csv,
0.4,0.4,toroidal,150,364,wrap_typescript,11.1821,,,,,0.0876,0.3424852704140343,0.4015988663874538,0.2762114440899934,0.6029306958809528,1.0,4.230868,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.11,toroidal,151,200,wrap_typescript,2.563,,,,,0.0048,0.1495439828233765,0.1496328562221237,0.1077737994783131,0.9002675785767958,0.8970894763131599,14.270509,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.192,euclidean,152,109,wrap_typescript,0.6664,,,,,0.0019,0.1691004531796349,0.1689421563163312,0.1208757440489135,0.93141665654788,0.9481151128907108,10.674323,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,euclidean,153,597,wrap_typescript,40.4952,,,,,0.0719,0.1539529914231684,0.1604563746355539,0.1135657659028674,0.9313076298631104,0.9671686942355568,11.470484,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,154,106,wrap_typescript,0.6304,,,,,0.0021,0.2145597708957541,0.2130423603711518,0.1591967697293343,0.8504196649913037,0.9063243273686626,8.896834,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,toroidal,155,822,wrap_typescript,98.043,,,,,0.1053,0.4297419448701542,0.3477149146011961,0.3096034468114344,0.1082920508730603,0.3404948062257657,11.380808,results/grg_normalized_wrap_typescript_comparison.csv,
0.28,0.28,toroidal,156,126,wrap_typescript,0.8561,,,,,0.004,0.1774073102732093,0.2209201833713308,0.1539400726990856,0.8497350617773256,0.9071673600825872,4.923574,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,euclidean,157,551,wrap_typescript,32.8487,,,,,0.0552,0.1415164696219929,0.1520360900833295,0.1045377888935091,0.953143428514484,0.9677456536485172,11.357445,results/grg_normalized_wrap_typescript_comparison.csv,
0.28,0.28,euclidean,158,902,wrap_typescript,129.6964,,,,,0.5457,0.1596028755840276,0.211402286750474,0.1379754940764834,0.9315253463970344,0.9578765950370068,7.022582,results/grg_normalized_wrap_typescript_comparison.csv,
0.28,0.28,euclidean,159,110,wrap_typescript,0.6884,,,,,0.0025,0.1722774583211537,0.1973265754622951,0.1381304499277982,0.9080791428564576,0.9333025411637188,7.464775,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,160,169,wrap_typescript,1.6324,,,,,0.007,0.1670708739761054,0.2153690194569093,0.1389176675761429,0.9174090249130614,0.9096785632413704,6.22993,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,161,126,wrap_typescript,0.865,,,,,0.0025,0.2170523944460872,0.2082057573772884,0.1607378445642369,0.8577627500714285,0.9255896967231658,8.868864,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,euclidean,162,604,wrap_typescript,41.9297,,,,,0.0686,0.1551304263439151,0.1620304191559576,0.1128968090844154,0.9347368483638488,0.9586708423684096,11.572312,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.13,euclidean,163,218,wrap_typescript,3.0884,,,,,0.006,0.177028304479707,0.1632476286961531,0.126010166602271,0.9105108312533854,0.940641108891109,16.297903,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,164,731,wrap_typescript,71.4179,,,,,0.1703,0.1650322838981445,0.1882785228083314,0.1262297321504262,0.9259808784865274,0.9571037108268976,8.299161,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,euclidean,165,100,wrap_typescript,0.5899,,,,,0.0015,0.1839833023913259,0.1707828616716704,0.1273017399877477,0.9356612995156214,0.9258333630843892,14.014465,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,166,910,wrap_typescript,133.6503,,,,,0.7254,0.1753505666018714,0.2406160346824567,0.1517175474956882,0.914572737266325,0.9256400990129252,6.106966,results/grg_normalized_wrap_typescript_comparison.csv,
0.4,0.4,euclidean,167,390,wrap_typescript,12.9283,,,,,0.0724,0.2167594464694221,0.2631642188776562,0.1883203317561713,0.8513828280104935,0.8622589515046951,5.190715,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,168,951,wrap_typescript,146.6616,,,,,0.4878,0.1746983098307706,0.2006833049853594,0.1340756495762774,0.9006026598823492,0.9722398155705928,8.429546,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,toroidal,169,136,wrap_typescript,0.9153,,,,,0.0036,0.1427758161265288,0.1835118448744972,0.1204606587551683,0.9022757415199,0.851722098994219,6.298335,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,toroidal,170,441,wrap_typescript,17.5596,,,,,0.0536,0.1411136257893285,0.1889193937381946,0.1233490113783957,0.9172648444590408,0.9269989840153252,5.928707,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,171,159,wrap_typescript,1.3991,,,,,0.0044,0.1910486577518624,0.1926472567155591,0.1402296182943878,0.9022032499489452,0.940872200008682,8.570996,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,172,327,wrap_typescript,8.245,,,,,0.0378,0.1620780957910732,0.2256520916477158,0.1399260678833555,0.9279566036863304,0.9581041342501778,6.109447,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,euclidean,173,404,wrap_typescript,13.8881,,,,,0.0191,0.1600474528109501,0.1421778203410334,0.1113899822786089,0.9166093795028318,0.9202138417138416,20.323084,results/grg_normalized_wrap_typescript_comparison.csv,
0.28,0.28,euclidean,174,114,wrap_typescript,0.6844,,,,,0.003,0.1489859058182042,0.1960230723932744,0.1289310647489707,0.9393548840392902,0.9575137797865074,7.198658,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,toroidal,175,426,wrap_typescript,16.4921,,,,,0.0233,0.2772893147938948,0.2767378360203159,0.2125057014655772,0.6160522693127047,0.5438156679921389,13.201979,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,176,884,wrap_typescript,118.3426,,,,,0.4098,0.1553738654044184,0.1900358363824548,0.1233268074405678,0.9457861447995524,0.9738056996473604,8.22325,results/grg_normalized_wrap_typescript_comparison.csv,
0.4,0.4,euclidean,177,146,wrap_typescript,1.149,,,,,0.007,0.2080593039938306,0.255205817348033,0.1804521449590121,0.8703815181761501,0.8765276887055173,5.237761,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,178,977,wrap_typescript,158.0124,,,,,0.5099,0.1662510166784534,0.1927101242403077,0.1281518442955638,0.9277745196730292,0.9636948308754708,8.315031,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.12,toroidal,179,117,wrap_typescript,0.7026,,,,,0.0018,0.3064454973877155,0.2652539461977727,0.217328215468435,0.6488190790837651,0.8333736933001638,16.28951,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,180,137,wrap_typescript,0.9512,,,,,0.0047,0.2506092177307155,0.2687836174211468,0.1983481870652153,0.7736240653852119,0.6996771408129971,5.748096,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,181,143,wrap_typescript,1.1004,,,,,0.0042,0.1903965778018736,0.19372966688238,0.1391012491519735,0.8954505873181341,0.9336442852955426,8.609098,results/grg_normalized_wrap_typescript_comparison.csv,
0.16,0.16,toroidal,182,196,wrap_typescript,2.304,,,,,0.006,0.3409552041579524,0.3393685401805529,0.2605718474494285,0.4581496638811722,0.5318326189494489,8.257862,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,toroidal,183,355,wrap_typescript,9.8397,,,,,0.0153,0.446180930880526,0.3679181053803376,0.3305613742417279,0.087315680041165,0.3351356807794887,12.980646,results/grg_normalized_wrap_typescript_comparison.csv,
0.22,0.22,euclidean,184,106,wrap_typescript,0.5948,,,,,0.002,0.2181478204862493,0.1988441610552284,0.1454436388312805,0.8727453585518288,0.8997654076487899,9.703913,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,185,690,wrap_typescript,59.959,,,,,0.2812,0.1620358563363608,0.221674874300346,0.1393287204282043,0.9243836507646592,0.9384523436858884,6.086346,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,toroidal,186,300,wrap_typescript,6.7359,,,,,0.0106,0.1705046847738516,0.1492199713341953,0.1043005387275661,0.8856829687391083,0.8900429932515495,15.06906,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,187,843,wrap_typescript,106.1887,,,,,0.6131,0.1642040085598444,0.2341391463511813,0.1418682128199541,0.9237822306828648,0.9491865507440886,6.042359,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,toroidal,188,550,wrap_typescript,31.3972,,,,,0.144,0.0855050588334874,0.1144216846424337,0.0727560942237999,0.9651143597379968,0.8955617160617159,13.192507,results/grg_normalized_wrap_typescript_comparison.csv,
0.28,0.28,toroidal,189,178,wrap_typescript,1.8524,,,,,0.0086,0.2937831023515889,0.3101139671127249,0.2296002860533719,0.592873756588301,0.7950544315864885,4.691797,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,toroidal,190,525,wrap_typescript,27.5438,,,,,0.1757,0.1953231783362095,0.2429242748026944,0.1672919406788878,0.8227478307953271,0.9977653666902564,4.113388,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,toroidal,191,256,wrap_typescript,4.1375,,,,,0.1139,0.1919133585546376,0.2451491377944768,0.1655191677647272,0.8396520472373732,0.99590110419363,4.12547,results/grg_normalized_wrap_typescript_comparison.csv,
0.1,0.1,toroidal,192,563,wrap_typescript,35.3895,,,,,0.0454,0.4162895296040332,0.3347564452395438,0.2986307564330211,0.196579772255968,0.4150297700915619,11.693282,results/grg_normalized_wrap_typescript_comparison.csv,
0.34,0.34,euclidean,193,271,wrap_typescript,5.9958,,,,,0.0244,0.1669760971149737,0.2180823708277867,0.1410829386306394,0.9229317027439096,0.9408171630093436,6.201872,results/grg_normalized_wrap_typescript_comparison.csv,
